abandoning abandon abandons abandoned
depressurize depressurizing depressurizes depressurized
deprives deprived deprive depriving
deputing depute deputed deputes
deputised deputises deputising deputise
deputized deputizing deputizes deputize
deracinating deracinate deracinated deracinates
derail derailing derailed derails
dereferencing dereferenced dereferences dereference
deregulates deregulated deregulating deregulate
deriding derides derided deride
derives derived deriving derive
dermabraded dermabrading dermabrades dermabrade
derogate derogating derogated derogates
descales descaled descale descaling
descend descends descending descended
described describe describing describes
descries descry descrying descried
desecrates desecrating desecrate desecrated
desegregated desegregate desegregates desegregating
deselects deselected deselecting deselect
desensitised desensitises desensitising desensitise
desensitize desensitizes desensitizing desensitized
desert deserting deserted deserts
deserving deserved deserves deserve
designing designed designs design
designate designated designating designates
desire desired desires desiring
desists desisted desist desisting
deskill deskills deskilling deskilled
desolate desolating desolates desolated
despaired despair despairing despairs
despise despises despising despised
despoils despoiled despoil despoiling
destabilises destabilise destabilised destabilising
destabilize destabilized destabilizing destabilizes
destock destocked destocks destocking
destress destressed destressing destresses
destroying destroys destroy destroyed
detached detaching detaches detach
detail details detailed detailing
detained detain detaining detains
detect detected detects detecting
deter deterring deterred deters
deteriorates deteriorated deteriorating deteriorate
determines determining determined determine
detest detesting detested detests
dethroning dethroned dethrone dethrones
detonated detonating detonate detonates
detouring detour detours detoured
detox detoxing detoxed detoxes
detoxified detoxify detoxifies detoxifying
detracting detracted detract detracts
detrained detrain detraining detrains
devalued devaluing devalue devalues
devastating devastated devastate devastates
developing developed develops develop
deviate deviating deviated deviates
devised devising devises devise
devoice devoicing devoices devoiced
devolves devolve devolved devolving
devoting devoted devotes devote
devour devoured devouring devours
diagnose diagnoses diagnosing diagnosed
diagram diagrams diagramming diagrammed
dialled dials dial dialling
diced dice dices dicing
dicked dick dicks dicking
dickered dickers dickering dicker
dictated dictate dictating dictates
diddling diddle diddles diddled
dies dying died die
diets diet dieting dieted
differs differing differ differed
differentiating differentiate differentiates differentiated
diffracted diffract diffracting diffracts
diffuse diffusing diffuses diffused
dug digs dig digging
digested digests digesting digest
digitalising digitalised digitalise digitalises
digitalizes digitalizing digitalized digitalize
digitises digitised digitise digitising
digitize digitized digitizes digitizing
dignifying dignify dignified dignifies
digress digresses digressing digressed
dilated dilate dilates dilating
dilly-dallied dilly-dallies dilly-dallying dilly-dally
dillydallies dillydallying dillydallied dillydally
diluted diluting dilutes dilute
dimming dim dimmed dims
diminishes diminished diminish diminishing
dimpling dimpled dimples dimple
din dins dinned dinning
dines dining dined dine
ding dinging dings dinged
dink dinked dinks dinking
dipped dips dipping dip
diphthongised diphthongising diphthongises diphthongise
diphthongized diphthongizes diphthongize diphthongizing
directs directed directing direct
dirty dirtied dirtying dirties
dissed dissing disses dis
disabling disabled disable disables
disabuse disabuses disabusing disabused
disadvantaging disadvantages disadvantage disadvantaged
disaffiliating disaffiliate disaffiliates disaffiliated
disagreed disagree disagrees disagreeing
disallows disallowing disallowed disallow
disambiguate disambiguated disambiguates disambiguating
disappearing disappeared disappears disappear
disappoints disappointing disappointed disappoint
disapproves disapproving disapprove disapproved
disarms disarming disarm disarmed
disarranged disarranging disarranges disarrange
disassembled disassemble disassembles disassembling
disassociated disassociates disassociate disassociating
disavows disavowed disavowing disavow
disband disbands disbanded disbanding
disbarred disbars disbarring disbar
disbelieved disbelieves disbelieve disbelieving
disburses disbursing disburse disbursed
discards discarded discard discarding
discerned discerning discerns discern
discharges discharging discharged discharge
disciplining discipline disciplined disciplines
disclaims disclaimed disclaim disclaiming
discloses disclose disclosed disclosing
discolor discoloring discolors discolored
discoloured discolour discolouring discolours
discomfited discomfit discomfiting discomfits
discomfort discomforted discomforting discomforts
discompose discomposes discomposed discomposing
disconcerts disconcerted disconcert disconcerting
disconnects disconnect disconnecting disconnected
discontinue discontinuing discontinues discontinued
discount discounting discounts discounted
discouraged discourages discouraging discourage
discoursing discourses discourse discoursed
discovering discovers discover discovered
discredits discredit discredited discrediting
discriminate discriminating discriminates discriminated
discussing discussed discuss discusses
disdains disdain disdaining disdained
disembarks disembark disembarking disembarked
disembowelling disembowel disembowelled disembowels
disenfranchise disenfranchises disenfranchising disenfranchised
disengaging disengages disengaged disengage
disentangled disentangle disentangles disentangling
disestablishes disestablishing disestablished disestablish
disfiguring disfigured disfigure disfigures
disfranchised disfranchising disfranchises disfranchise
disgorges disgorge disgorging disgorged
disgraces disgraced disgrace disgracing
disguised disguising disguise disguises
disgust disgusts disgusted disgusting
dished dish dishes dishing
dishearten disheartened disheartening disheartens
dishonour dishonours dishonoured dishonouring
disillusions disillusion disillusioned disillusioning
disincentivise disincentivising disincentivises disincentivised
disincentivize disincentivized disincentivizing disincentivizes
disinfects disinfected disinfecting disinfect
disinherits disinheriting disinherit disinherited
disinhibited disinhibit disinhibiting disinhibits
disintegrate disintegrating disintegrates disintegrated
disinterred disinterring disinters disinter
disinvests disinvested disinvest disinvesting
dislike disliked disliking dislikes
dislocating dislocated dislocates dislocate
dislodging dislodges dislodged dislodge
dismantling dismantled dismantle dismantles
dismayed dismay dismays dismaying
dismembering dismembers dismember dismembered
dismisses dismiss dismissed dismissing
dismount dismounts dismounting dismounted
disobeying disobeyed disobeys disobey
disorientates disorientated disorientate disorientating
disowns disowning disowned disown
disparages disparaged disparage disparaging
dispatch dispatching dispatched dispatches
dispel dispelling dispelled dispels
dispel dispelling dispelt dispels
dispensing dispensed dispense dispenses
dispersed dispersing disperse disperses
displacing displaces displace displaced
displayed displays display displaying
displeasing displease displeases displeased
disport disporting disports disported
dispose disposes disposing disposed
dispossesses dispossessed dispossessing dispossess
disproved disprove disproves disproving
disputed disputing dispute disputes
disqualified disqualifying disqualifies disqualify
disregarding disregards disregarded disregard
disrespect disrespecting disrespected disrespects
disrobing disrobe disrobed disrobes
disrupted disrupts disrupting disrupt
dissed disses diss dissing
dissects dissecting dissected dissect
dissembling dissembles dissembled dissemble
disseminated disseminate disseminating disseminates
dissented dissent dissenting dissents
disservicing disservices disserviced disservice
dissimulate dissimulated dissimulates dissimulating
dissipated dissipate dissipates dissipating
dissociates dissociating dissociated dissociate
dissolving dissolved dissolves dissolve
dissuaded dissuade dissuades dissuading
distances distancing distanced distance
distend distending distends distended
distils distilled distilling distil
distinguishes distinguished distinguishing distinguish
distorting distorted distorts distort
distracts distract distracting distracted
distressed distressing distress distresses
distribute distributing distributes distributed
distrusting distrusts distrust distrusted
disturbs disturbed disturbing disturb
disunite disunited disunites disuniting
ditched ditching ditches ditch
dithers dithering dither dithered
dives diving dive dived
dives diving dove dive
dive-bombing dive-bombed dive-bomb dive-bombs
divebombs divebomb divebombing divebombed
diverging diverged diverges diverge
diversifies diversified diversifying diversify
diverts diverting divert diverted
divests divesting divest divested
divide dividing divided divides
divines divined divining divine
divorced divorcing divorces divorce
divulged divulges divulge divulging
divvies divvying divvy divvied
dj dj's dj'd dj'ing
did do does doing
dobbed dob dobbing dobs
dock docked docking docks
doctored doctoring doctors doctor
document documented documents documenting
dodging dodge dodged dodges
doffs doff doffing doffed
dog dogs dogged dogging
doled doling doles dole
dolled doll dolls dolling
dollarises dollarised dollarising dollarise
dollarizes dollarize dollarizing dollarized
domesticate domesticated domesticating domesticates
dominating dominates dominate dominated
donned donning dons don
donates donate donated donating
doodle doodles doodling doodled
doomed dooming dooms doom
dooring doors door doored
doorstepped doorstepping doorstep doorsteps
dopped dops dopping dop
doped doping dope dopes
dose doses dosed dosing
dossed doss dosses dossing
dots dotting dot dotted
dotes doted doting dote
double doubled doubles doubling
double clicked double clicking double click double clicks
double-booked double-book double-books double-booking
double-checks double-check double-checked double-checking
double-clicked double-clicks double-clicking double-click
double-cross double-crossing double-crosses double-crossed
double-dated double-dates double-date double-dating
double-dips double-dip double-dipped double-dipping
double-faults double-fault double-faulted double-faulting
double-glazes double-glazed double-glaze double-glazing
double-park double-parked double-parks double-parking
doublebook doublebooking doublebooked doublebooks
doublechecking doublechecked doublecheck doublechecks
doubleclicked doubleclick doubleclicking doubleclicks
doublecrossed doublecross doublecrosses doublecrossing
doubledates doubledating doubledate doubledated
doubledipping doubledipped doubledips doubledip
doublefault doublefaults doublefaulted doublefaulting
doubleglazing doubleglaze doubleglazed doubleglazes
doubleparking doubleparked doubleparks doublepark
doubt doubts doubting doubted
douches douching douched douche
doused dousing douses douse
dovetailed dovetails dovetail dovetailing
downs downed downing down
downchanges downchanged downchange downchanging
downgraded downgrade downgrading downgrades
downlinks downlinked downlink downlinking
downloads downloaded download downloading
downplayed downplaying downplays downplay
downscaled downscale downscales downscaling
downshifting downshift downshifts downshifted
downsised downsises downsising downsise
downsizing downsize downsizes downsized
dowse dowsing dowses dowsed
dozes dozed dozing doze
drafts draft drafting drafted
drags drag dragging dragged
dragooned dragooning dragoon dragoons
drained draining drain drains
dramatising dramatised dramatises dramatise
dramatizes dramatizing dramatized dramatize
drapes draping draped drape
draught draughted draughts draughting
draw drawn drawing drew draws
drawling drawl drawled drawls
dreaded dreading dreads dread
dream dreamed dreams dreaming
dream dreamt dreams dreaming
dredged dredges dredging dredge
drenches drenching drenched drench
dresses dressing dressed dress
dribbles dribbled dribble dribbling
drifted drifts drift drifting
drilled drill drilling drills
drunk drank drinking drinks drink
dripping dripped drips drip
drip-fed drip-feeding drip-feed drip-feeds
dripfed dripfeeds dripfeeding dripfeed
driven drove drive driving drives
drivelled drivels drivel drivelling
drizzles drizzling drizzle drizzled
droned droning drones drone
drooled drools drooling drool
droops droop drooped drooping
dropping drop dropped drops
drop-kicking drop-kick drop-kicked drop-kicks
dropkicked dropkicking dropkicks dropkick
drown drowns drowned drowning
drowsed drowsing drowses drowse
drug drugged drugging drugs
drummed drum drumming drums
dried dry dries drying
dry-cleans dry-clean dry-cleaned dry-cleaning
drycleans drycleaning drycleaned dryclean
dubbed dubs dub dubbing
ducks ducking duck ducked
duelled duel duels duelling
duetted duets duet duetting
duffing duff duffs duffed
duked dukes duke duking
dulls dull dulled dulling
dumbing dumbs dumb dumbed
dumbfounds dumbfound dumbfounding dumbfounded
dummied dummying dummies dummy
dumping dump dumps dumped
dunked dunk dunking dunks
dunted dunts dunting dunt
duped dupes dupe duping
duplicating duplicated duplicates duplicate
dust dusts dusting dusted
dwarfing dwarf dwarfed dwarfs
dwells dwelt dwell dwelling
dwells dwell dwelling dwelled
dwindling dwindled dwindle dwindles
dye dyed dyeing dyes
enwounding enwinds enwind enwound
dynamiting dynamites dynamite dynamited
eagled eagles eagling eagle
earmarked earmarking earmarks earmark
earn earns earned earning
earthed earths earth earthing
eases eased easing ease
eats eating eaten ate eat
eavesdropped eavesdrop eavesdrops eavesdropping
ebayed ebays ebay ebaying
ebbed ebbing ebb ebbs
echoes echo echoed echoing
eclipsing eclipses eclipse eclipsed
economising economises economise economised
economizing economize economized economizes
eddy eddying eddied eddies
edging edged edges edge
edify edifying edifies edified
edit edits edited editing
editorialises editorialising editorialised editorialise
editorializing editorialized editorialize editorializes
educating educate educated educates
effed eff effing effs
effaced efface effacing effaces
effecting effect effects effected
effectuate effectuated effectuating effectuates
effervesced effervescing effervesce effervesces
egged eggs egg egging
egosurfing egosurf egosurfs egosurfed
ejaculating ejaculate ejaculated ejaculates
ejecting ejects ejected eject
eked eke ekes eking
elaborated elaborating elaborate elaborates
elapses elapse elapsed elapsing
elbows elbow elbowed elbowing
elects elected electing elect
electrify electrifies electrifying electrified
electrocutes electrocuted electrocute electrocuting
electroplate electroplated electroplating electroplates
elevating elevate elevated elevates
elicited elicit elicits eliciting
elides eliding elided elide
eliminate eliminates eliminated eliminating
elongate elongates elongated elongating
eloped elopes eloping elope
elucidates elucidated elucidate elucidating
eludes eluding eluded elude
emailing emails email emailed
emanate emanates emanating emanated
emancipated emancipates emancipate emancipating
emasculating emasculates emasculate emasculated
embalming embalms embalm embalmed
embargoed embargoes embargoing embargo
embarked embarking embark embarks
embarrassing embarrassed embarrasses embarrass
embeds embed embedded embedding
embellishes embellish embellished embellishing
embezzles embezzling embezzled embezzle
embittered embitter embitters embittering
emblazon emblazons emblazoned emblazoning
embodies embody embodying embodied
emboldening embolden emboldened emboldens
embosses embossing embossed emboss
embraces embraced embrace embracing
embroiders embroidered embroider embroidering
embroiled embroil embroiling embroils
emcee emceed emcees emceeing
emends emending emend emended
emerging emerged emerge emerges
emigrating emigrate emigrates emigrated
emitting emits emit emitted
emoting emotes emoted emote
empaneling empanel empanels empaneled
empathising empathise empathised empathises
empathize empathizing empathized empathizes
emphasise emphasised emphasises emphasising
emphasizes emphasizing emphasize emphasized
employed employing employ employs
empowers empowering empower empowered
empties emptied empty emptying
emulates emulated emulating emulate
emulsify emulsifies emulsified emulsifying
enabling enables enable enabled
enact enacting enacts enacted
enamel enamelled enamelling enamels
encamping encamped encamps encamp
encapsulating encapsulate encapsulated encapsulates
encasing encases encase encased
encash encashing encashed encashes
enchanted enchanting enchants enchant
encircled encircle encircles encircling
encloses enclosed enclosing enclose
encodes encoding encoded encode
encompasses encompass encompassed encompassing
encounters encountered encountering encounter
encouraged encourage encouraging encourages
encroach encroaching encroaches encroached
encrypted encrypts encrypting encrypt
encumbers encumber encumbering encumbered
ended ends end ending
endangering endanger endangers endangered
endear endearing endeared endears
endeavouring endeavoured endeavours endeavour
endorse endorsing endorsed endorses
endowing endows endow endowed
endured enduring endures endure
energise energised energising energises
energizes energized energize energizing
enervates enervating enervated enervate
enfeebling enfeebled enfeeble enfeebles
enfold enfolded enfolding enfolds
enforces enforcing enforce enforced
enfranchising enfranchises enfranchise enfranchised
engage engaged engaging engages
engender engendering engenders engendered
engineering engineers engineer engineered
engorge engorging engorges engorged
engrave engraves engraving engraved
engrossing engrossed engrosses engross
engulfs engulfing engulfed engulf
enhance enhancing enhances enhanced
enjoins enjoin enjoined enjoining
enjoy enjoys enjoyed enjoying
enlarged enlarging enlarges enlarge
enlighten enlightening enlightens enlightened
enlisted enlists enlist enlisting
enliven enlivens enlivened enlivening
enmeshes enmeshed enmeshing enmesh
ennobles ennoble ennobling ennobled
enquiring enquired enquire enquires
enrage enrages enraging enraged
enraptured enrapturing enraptures enrapture
enriches enriched enriching enrich
enrols enrolled enrolling enrol
ensconced ensconcing ensconce ensconces
enshrined enshrines enshrine enshrining
enshroud enshrouded enshrouding enshrouds
enslaves enslaving enslave enslaved
ensnaring ensnare ensnared ensnares
ensued ensue ensues ensuing
ensures ensuring ensured ensure
entail entails entailed entailing
entangled entangle entangling entangles
entered enter enters entering
entertains entertained entertain entertaining
enthralling enthrals enthralled enthral
enthroning enthrone enthrones enthroned
enthusing enthused enthuses enthuse
enticed enticing entice entices
entitle entitling entitles entitled
entombs entombing entombed entomb
entranced entrance entrances entrancing
entraps entrapping entrapped entrap
entreating entreated entreat entreats
entrenched entrenches entrenching entrench
entrusting entrusted entrust entrusts
entwine entwines entwined entwining
enumerate enumerated enumerating enumerates
enunciated enunciates enunciating enunciate
envelop envelops enveloping enveloped
envisages envisaging envisage envisaged
envisions envisioned envisioning envision
envies envying envied envy
epitomise epitomised epitomising epitomises
epitomizes epitomizing epitomized epitomize
equals equalled equalling equal
equalise equalises equalising equalised
equalize equalized equalizing equalizes
equates equating equate equated
equipped equipping equip equips
equivocated equivocating equivocate equivocates
eradicates eradicated eradicating eradicate
erased erase erasing erases
erecting erects erect erected
erodes eroded erode eroding
err erring errs erred
erupt erupts erupted erupting
escalate escalating escalated escalates
escaped escape escapes escaping
eschew eschewed eschewing eschews
escorts escort escorted escorting
espoused espouses espousing espouse
espied espying espy espies
essay essayed essaying essays
establish established establishing establishes
esteem esteems esteeming esteemed
estimated estimates estimate estimating
etches etched etch etching
eulogised eulogises eulogising eulogise
eulogizes eulogized eulogize eulogizing
europeanise europeanises europeanised europeanising
europeanize europeanizes europeanizing europeanized
euthanised euthanising euthanises euthanise
euthanizing euthanizes euthanized euthanize
evacuated evacuates evacuating evacuate
evading evade evades evaded
evaluating evaluate evaluates evaluated
evangelise evangelises evangelised evangelising
evangelize evangelizing evangelizes evangelized
evaporates evaporating evaporated evaporate
evens evening even evened
eventuate eventuating eventuates eventuated
evict evicted evicts evicting
evidence evidenced evidencing evidences
evinces evince evinced evincing
eviscerate eviscerates eviscerating eviscerated
evoking evoked evoke evokes
evolved evolve evolves evolving
exacerbates exacerbated exacerbating exacerbate
exact exacting exacted exacts
exaggerating exaggerate exaggerated exaggerates
exalting exalts exalted exalt
examining examined examine examines
exasperating exasperates exasperate exasperated
excavate excavated excavates excavating
exceeded exceeding exceeds exceed
excels excelling excelled excel
excepting except excepts excepted
excerpting excerpt excerpted excerpts
exchanges exchanged exchanging exchange
excised excise excises excising
excite excited exciting excites
exclaims exclaiming exclaim exclaimed
excluded exclude excluding excludes
excommunicate excommunicated excommunicating excommunicates
excoriates excoriating excoriated excoriate
excrete excretes excreting excreted
exculpates exculpate exculpating exculpated
excuse excusing excused excuses
execrating execrated execrate execrates
execute executed executes executing
exemplifies exemplifying exemplified exemplify
exempting exempted exempts exempt
exercised exercise exercises exercising
exerting exerted exerts exert
exfoliates exfoliate exfoliated exfoliating
exhaled exhale exhaling exhales
exhausting exhausted exhausts exhaust
exhibit exhibiting exhibited exhibits
exhilarate exhilarating exhilarates exhilarated
exhort exhorting exhorted exhorts
exhumes exhuming exhumed exhume
exiled exile exiling exiles
existing exist exists existed
exit exits exited exiting
exonerating exonerate exonerates exonerated
exorcise exorcised exorcising exorcises
exorcized exorcizing exorcizes exorcize
expanding expands expand expanded
expatiate expatiating expatiates expatiated
expecting expect expects expected
expectorating expectorate expectorated expectorates
expedited expedites expediting expedite
expel expels expelling expelled
expended expends expend expending
experiences experienced experiencing experience
experiment experiments experimented experimenting
expiate expiates expiating expiated
expires expired expiring expire
explained explaining explains explain
explicating explicated explicates explicate
exploding explode explodes exploded
exploiting exploited exploits exploit
explored explores explore exploring
exported exporting export exports
expose exposes exposed exposing
expostulating expostulates expostulate expostulated
expounded expound expounds expounding
express expresses expressed expressing
expropriated expropriates expropriate expropriating
expunged expunging expunge expunges
expurgate expurgating expurgated expurgates
extemporised extemporising extemporise extemporises
extemporized extemporizing extemporize extemporizes
extended extending extend extends
exterminated exterminate exterminating exterminates
externalise externalises externalised externalising
externalizing externalized externalize externalizes
extinguishing extinguish extinguishes extinguished
extirpating extirpates extirpate extirpated
extol extolled extols extolling
extort extorted extorting extorts
extracts extract extracted extracting
extraditing extradite extradites extradited
extrapolated extrapolate extrapolates extrapolating
extricate extricating extricates extricated
extruded extrudes extrude extruding
exudes exuded exude exuding
exulted exult exults exulting
eyeing eye eyed eyes
eyeball eyeballing eyeballed eyeballs
fabricating fabricates fabricate fabricated
faced face facing faces
facepalm facepalming facepalmed facepalms
facilitates facilitate facilitated facilitating
factor factored factoring factors
factorising factorise factorised factorises
factorizes factorize factorizing factorized
fade fades faded fading
faffed faff faffs faffing
failing failed fails fail
faint fainting fainted faints
faked fakes fake faking
fell fallen falling fall falls
falsified falsifies falsifying falsify
faltered falters falter faltering
familiarised familiarise familiarising familiarises
familiarizing familiarize familiarized familiarizes
fan fans fanning fanned
fancies fancied fancying fancy
fantasising fantasised fantasise fantasises
fantasizing fantasize fantasized fantasizes
fared faring fares fare
farewell farewelled farewelling farewells
farm farming farmed farms
farrowed farrowing farrow farrows
farts farted farting fart
fascinated fascinate fascinating fascinates
fashioning fashions fashion fashioned
fasted fasts fast fasting
fast-forwarding fast-forwarded fast-forwards fast-forward
fast-track fast-tracks fast-tracking fast-tracked
fastens fastening fastened fasten
fastforwarded fastforwarding fastforward fastforwards
fasttracked fasttrack fasttracks fasttracking
fat-fingers fat-finger fat-fingering fat-fingered
fatfingers fatfingered fatfingering fatfinger
fathers fathered father fathering
fathomed fathoms fathoming fathom
fattens fattened fatten fattening
faults faulted faulting fault
favor favors favoring favored
favours favour favoured favouring
fawning fawns fawn fawned
faxed faxes faxing fax
fazes fazed faze fazing
fears fearing feared fear
feasts feast feasting feasted
feathers feathering feathered feather
feather-bedding feather-beds feather-bed feather-bedded
featherbeds featherbedded featherbedding featherbed
features featuring featured feature
federating federate federated federates
feeding fed feeds feed
feels feel felt feeling
feign feigned feigning feigns
feint feinting feinted feints
fells fell felling felled
fellate fellating fellates fellated
feminising feminises feminised feminise
feminized feminize feminizing feminizes
fences fencing fenced fence
fend fended fending fends
feng shui feng shuis feng shuiing feng shuied
ferments fermenting fermented ferment
ferret ferreting ferreted ferrets
ferry ferrying ferries ferried
fertilise fertilising fertilises fertilised
fertilized fertilizing fertilizes fertilize
fessing fessed fesses fess
festers festered festering fester
festooning festoons festoon festooned
fetch fetches fetched fetching
fete fetes feting feted
fetishise fetishises fetishised fetishising
fetishize fetishizing fetishizes fetishized
fetter fetters fettering fettered
feud feuded feuding feuds
fib fibs fibbed fibbing
fictionalised fictionalising fictionalise fictionalises
fictionalized fictionalizing fictionalize fictionalizes
fiddles fiddle fiddling fiddled
fidgeted fidgeting fidget fidgets
fielded fields fielding field
field-tested field-tests field-testing field-test
fieldtesting fieldtest fieldtested fieldtests
fought fighting fight fights
figure figures figuring figured
filched filch filches filching
filing files filed file
filibuster filibusters filibustering filibustered
fill fills filled filling
filleted fillets filleting fillet
films film filming filmed
filtering filters filtered filter
finagled finagle finagles finagling
finalising finalise finalises finalised
finalizing finalized finalizes finalize
finance financed financing finances
find found finding finds
fined fines fine fining
fine-tuned fine-tune fine-tuning fine-tunes
finesse finessing finessed finesses
finetune finetuned finetunes finetuning
fingering finger fingered fingers
fingerprints fingerprinting fingerprinted fingerprint
finishing finishes finish finished
finked fink finking finks
firing fired fires fire
firebombing firebombs firebomb firebombed
firms firm firming firmed
first-foots first-footing first-foot first-footed
firstfoots firstfooting firstfooted firstfoot
fished fishing fish fishes
fishtails fishtail fishtailing fishtailed
fist-bumps fist-bumped fist-bumping fist-bump
fist-pump fist-pumped fist-pumping fist-pumps
fistbumps fistbump fistbumped fistbumping
fistpumps fistpumped fistpumping fistpump
fit fitting fits
fit fitted fitting fits
fixing fixed fix fixes
fizzed fizzes fizz fizzing
fizzles fizzle fizzling fizzled
flagged flagging flag flags
flagellated flagellating flagellate flagellates
flailed flailing flail flails
flake flaked flakes flaking
flamb�ed flamb�s flambe flamb�ing
flaming flame flames flamed
flanked flanks flanking flank
flannelled flannelling flannels flannel
flapped flapping flap flaps
flares flare flaring flared
flashed flash flashes flashing
flat flats flatting flatted
flatlined flatlining flatline flatlines
flatten flattening flattens flattened
flattered flatters flattering flatter
flaunted flaunt flaunting flaunts
flavour flavouring flavours flavoured
flayed flays flaying flay
fleck flecking flecked flecks
fleeing fled flees flee
fleecing fleeces fleeced fleece
fleshes fleshed fleshing flesh
flexing flex flexed flexes
flicked flick flicks flicking
flicker flickering flickered flickers
flighted flights flighting flight
flinch flinching flinched flinches
fling flung flings flinging
flips flipping flip flipped
flip-flop flip-flops flip-flopping flip-flopped
flipflops flipflopping flipflopped flipflop
flirting flirted flirt flirts
flitted flitting flit flits
floats float floated floating
flock flocking flocked flocks
flogs flog flogged flogging
flooding flooded floods flood
floodlights floodlighting floodlight floodlit
floor floors floored flooring
flopping flopped flop flops
flosses flossed floss flossing
flounce flounced flouncing flounces
floundered flounder floundering flounders
flouring flour floured flours
flourishing flourished flourish flourishes
flout flouting flouted flouts
flows flowed flowing flow
flower flowered flowering flowers
flub flubs flubbed flubbing
fluctuated fluctuates fluctuating fluctuate
fluffing fluffed fluffs fluff
flummox flummoxed flummoxing flummoxes
flunks flunked flunking flunk
fluoridated fluoridating fluoridates fluoridate
flushing flushes flush flushed
flusters fluster flustering flustered
fluttering flutter flutters fluttered
flew flying flies fly flown
fly-kicked fly-kicking fly-kicks fly-kick
fly-posts fly-post fly-posted fly-posting
fly-tips fly-tipped fly-tip fly-tipping
flykicks flykick flykicking flykicked
flyposted flypost flyposting flyposts
flytipping flytipped flytips flytip
foal foaled foals foaling
foamed foams foaming foam
fob fobbing fobs fobbed
focalise focalising focalises focalised
focalized focalizing focalizes focalize
focusing focuses focus focused
fogged fogs fog fogging
foiling foiled foils foil
foisted foisting foist foists
folding folded fold folds
followed follows following follow
fomenting foments foment fomented
fondles fondled fondle fondling
fooled fooling fools fool
footing foot footed foots
foraging foraged forage forages
forbearing forbear forbore forborne forbears
forbid forbids forbade forbidding forbidden
forbid forbids forbad forbidding forbidden
forcing forced force forces
force-feeds force-feed force-fed force-feeding
forcefeeding forcefeeds forcefeed forcefed
forded ford fording fords
forearming forearms forearm forearmed
forecast forecasting forecasts
forecast forecasted forecasting forecasts
foreclosed foreclosing foreclose forecloses
foregathers foregather foregathering foregathered
foregoes foregone foregoing forewent forego
foregrounds foregrounded foregrounding foreground
foresee foreseen foreseeing foresaw foresees
foreshadowing foreshadowed foreshadow foreshadows
foreshortens foreshortening foreshorten foreshortened
forestalls forestall forestalled forestalling
foretelling foretells foretold foretell
forewarn forewarns forewarned forewarning
forfeited forfeiting forfeits forfeit
forfend forfends forfending forfended
forgathering forgathered forgather forgathers
forge forges forging forged
forgot forgets forgetting forgotten forget
forget forgot forgets forgetting
forgiven forgives forgave forgive forgiving
forgo forgone forgoing forgoes forwent
forks forked fork forking
forms formed forming form
formalised formalises formalising formalise
formalize formalized formalizes formalizing
formatting formatted formats format
formulated formulating formulate formulates
fornicated fornicating fornicates fornicate
forsake forsaken forsakes forsook forsaking
forsworn forswearing forswear forswears forswore
fortify fortifying fortified fortifies
forwarding forwarded forwards forward
fossicks fossicking fossicked fossick
fossilised fossilise fossilises fossilising
fossilizes fossilize fossilizing fossilized
fostering fosters foster fostered
fouled fouls fouling foul
founded found founds founding
founder foundering founders foundered
foxes foxing fox foxed
fractures fractured fracturing fracture
fragging frags frag fragged
fragments fragmenting fragment fragmented
framing frames frame framed
franchising franchises franchise franchised
franking franks frank franked
fraternised fraternises fraternise fraternising
fraternize fraternizes fraternized fraternizing
frays fray frayed fraying
freaked freaking freaks freak
freeing free freed frees
freelancing freelance freelances freelanced
freeloading freeload freeloads freeloaded
freestyle freestyling freestyles freestyled
freewheeling freewheels freewheel freewheeled
freeze freezes freezing frozen froze
freeze-dries freeze-dry freeze-drying freeze-dried
freezedrying freezedried freezedry freezedries
freights freight freighting freighted
french polishes french polish french polishing french polished
frequents frequenting frequent frequented
freshened freshening freshen freshens
fretted frets fretting fret
frightening frighten frightened frightens
fringing fringed fringe fringes
frisking frisked frisks frisk
fritter frittered frittering fritters
frizzing frizzes frizz frizzed
frizzles frizzling frizzled frizzle
frogmarch frogmarched frogmarches frogmarching
frolicking frolic frolics frolicked
front fronted fronting fronts
front-load front-loading front-loads front-loaded
frontload frontloading frontloaded frontloads
frosted frosts frost frosting
frostbite frostbites frostbit frostbitten frostbiting 
frothing froth frothed froths
frowned frown frowns frowning
fruiting fruits fruited fruit
frustrate frustrates frustrated frustrating
frying fried fries fry
fucks fucking fucked fuck
fuddling fuddle fuddles fuddled
fudging fudged fudges fudge
fuel fuelled fuelling fuels
fulfils fulfilled fulfil fulfilling
fulminate fulminated fulminating fulminates
fumbling fumble fumbles fumbled
fumed fuming fumes fume
fumigating fumigates fumigated fumigate
functioned functioning functions function
fund funded funds funding
funking funk funked funks
funnels funnelling funnel funnelled
furring furred furs fur
furl furling furled furls
furloughed furloughing furloughs furlough
furnish furnished furnishing furnishes
furrowed furrow furrows furrowing
furthering furthers further furthered
fused fusing fuses fuse
fussing fussed fusses fuss
future-proofing future-proofs future-proofed future-proof
futureproofed futureproofing futureproofs futureproof
futz futzes futzing futzed
gabbing gab gabbed gabs
gabbling gabbles gabbled gabble
gadded gadding gads gad
gagged gagging gag gags
gains gaining gained gain
gainsaying gainsay gainsays gainsaid
galls gall galling galled
gallivanted gallivants gallivanting gallivant
gallopped gallops gallopping gallop
galumph galumphed galumphs galumphing
galvanised galvanising galvanise galvanises
galvanized galvanize galvanizing galvanizes
gambling gambles gamble gambled
